epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,1.35947,72.01008,88.09748,0.41909,89.36000,97.89999
002,0.75641,81.35731,93.78603,0.34212,90.82000,98.10000
003,0.67988,82.74738,94.28673,0.33300,91.04000,98.10000
004,0.63479,83.67538,94.69549,0.32248,91.20000,98.06000
005,0.61399,84.10423,94.79748,0.32461,91.18000,98.20000
006,0.58745,84.68451,95.05015,0.30557,91.60000,98.28000
007,0.57777,84.85064,95.12201,0.30880,91.75999,98.14000
008,0.56881,85.15971,95.18691,0.30232,91.72000,98.16000
009,0.55285,85.56229,95.31209,0.30158,91.82000,98.20000
010,0.53439,85.95172,95.52690,0.30502,91.82000,97.92000
011,0.52535,86.20207,95.64049,0.29996,91.68000,98.30000
012,0.50997,86.62010,95.72857,0.28902,92.22000,98.24000
013,0.50685,86.56215,95.84216,0.29042,92.30000,98.20000
014,0.49990,86.86813,95.84988,0.28238,92.30000,98.36000
015,0.48771,87.15712,96.02837,0.28427,92.20000,98.39999
016,0.47803,87.32170,96.10796,0.28136,92.25999,98.43999
017,0.46922,87.63078,96.19064,0.28268,92.18000,98.46000
018,0.47265,87.54037,96.09328,0.28052,92.43999,98.46000
019,0.46099,87.89426,96.18755,0.28435,92.52000,98.32000
020,0.45979,87.90972,96.19450,0.28913,92.22000,98.36000
021,0.44734,88.20025,96.33591,0.28579,92.25999,98.32000
022,0.44011,88.35324,96.43404,0.28072,92.24000,98.46000
023,0.43378,88.54256,96.49585,0.27841,92.36000,98.46000
024,0.43121,88.65459,96.50976,0.28405,92.32000,98.22000
025,0.43398,88.64996,96.41704,0.28000,92.39999,98.34000
026,0.45250,88.12067,96.27718,0.28576,92.20000,98.16000
027,0.44363,88.36638,96.30963,0.28487,92.39999,98.22000
028,0.42710,88.74345,96.54221,0.28390,92.46000,98.24000
029,0.43198,88.59200,96.43713,0.28095,92.25999,98.28000
030,0.43695,88.51628,96.39077,0.28340,92.34000,98.30000
