epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,1.41415,70.73900,87.42370,0.43112,89.18000,97.84000
002,0.66478,83.66765,94.81602,0.33859,91.16000,97.98000
003,0.58440,85.19990,95.35459,0.31612,91.48000,98.24000
004,0.54892,85.87755,95.62271,0.30390,91.68000,98.12000
005,0.52516,86.41920,95.80352,0.29093,92.06000,98.46000
006,0.50705,86.85345,95.88465,0.29146,92.02000,98.36000
007,0.48498,87.43143,96.16282,0.28118,92.14000,98.50000
008,0.47504,87.56742,96.16282,0.28115,92.42000,98.43999
009,0.45798,88.08589,96.27254,0.28522,92.28000,98.43999
010,0.45530,88.13535,96.32432,0.27869,92.16000,98.46000
011,0.44601,88.24738,96.48890,0.27556,92.38000,98.56000
012,0.43128,88.61751,96.61639,0.27445,92.42000,98.50000
013,0.42590,88.82072,96.62875,0.28231,92.18000,98.43999
014,0.42131,88.95440,96.69366,0.27215,92.60000,98.54000
015,0.40870,89.34924,96.73693,0.27542,92.70000,98.38000
016,0.40181,89.52078,96.81033,0.26732,92.68000,98.54000
017,0.39887,89.55787,96.83738,0.27065,92.74000,98.28000
018,0.39452,89.66991,96.87138,0.26982,92.66000,98.50000
019,0.38310,89.92413,97.00274,0.26724,92.75999,98.48000
020,0.38699,89.89322,96.93242,0.26397,92.74000,98.46000
