epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,1.58113,63.51937,83.14609,0.41362,88.72000,97.82000
002,1.12545,71.39579,88.39381,0.36821,90.07999,97.78000
003,1.04765,73.16911,89.24184,0.35731,90.36000,97.74000
004,1.00139,74.22229,89.82020,0.35035,90.64000,97.74000
005,0.97073,74.91616,90.16095,0.33819,90.92000,97.84000
006,0.94304,75.64828,90.48857,0.33700,91.22000,97.78000
007,0.91194,76.37191,90.90119,0.35008,90.75999,97.80000
008,0.89446,76.73663,91.13223,0.34027,90.64000,97.80000
009,0.87410,77.24351,91.34046,0.34887,90.42000,97.78000
010,0.86506,77.47299,91.43280,0.33398,90.86000,97.82000
011,0.84640,77.91729,91.63177,0.33120,90.98000,97.93999
012,0.83079,78.36623,91.82919,0.33140,90.82000,97.74000
013,0.81870,78.61078,91.96364,0.33820,90.93999,97.96000
014,0.81121,78.77305,92.10272,0.34179,91.18000,97.89999
015,0.80294,78.96043,92.16029,0.33275,91.28000,97.80000
016,0.79042,79.38270,92.33337,0.32542,91.52000,97.82000
017,0.77915,79.63073,92.53968,0.31109,91.70000,98.00000
018,0.77475,79.66975,92.57909,0.32145,91.43999,98.02000
019,0.76210,80.03717,92.65868,0.31742,91.43999,97.80000
020,0.75623,80.17239,92.68147,0.31898,91.64000,97.96000
021,0.74591,80.40149,92.88468,0.31663,91.92000,97.96000
022,0.74598,80.47451,92.81785,0.31476,91.54000,98.24000
023,0.74331,80.57187,92.83524,0.31329,91.66000,98.07999
024,0.73499,80.75461,92.91135,0.31079,91.62000,97.98000
025,0.74772,80.44012,92.80548,0.30811,91.70000,98.07999
026,0.75038,80.38488,92.75333,0.30822,91.78000,98.00000
027,0.75151,80.35011,92.74908,0.30509,91.86000,98.10000
028,0.75404,80.33427,92.65172,0.31012,91.80000,97.98000
029,0.75616,80.24812,92.64438,0.30912,91.74000,98.00000
030,0.75581,80.19132,92.67683,0.30736,91.92000,97.93999
