epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,1.70649,68.48970,85.29030,0.52550,88.00000,97.36000
002,0.84827,80.45017,93.59440,0.40115,89.66000,97.75999
003,0.74975,81.72742,94.01938,0.36947,90.42000,97.96000
004,0.70838,82.31390,94.28905,0.35037,90.78000,98.00000
005,0.68326,82.71724,94.31841,0.33752,91.02000,97.86000
006,0.66801,82.99696,94.51777,0.32486,91.16000,98.10000
007,0.66038,83.03945,94.42118,0.32283,91.34000,98.02000
008,0.65988,82.85710,94.41577,0.32250,91.24000,97.88000
009,0.66294,82.84860,94.29214,0.31630,91.54000,98.06000
010,0.66872,82.70024,94.21487,0.30569,91.92000,98.00000
011,0.67712,82.41280,94.14301,0.31556,91.56000,97.92000
012,0.68078,82.31390,94.01088,0.31165,91.64000,98.18000
013,0.68741,82.01409,93.99543,0.31294,91.84000,98.02000
014,0.69973,81.77843,93.78448,0.31291,91.60000,97.82000
015,0.70739,81.68184,93.71262,0.31963,91.28000,98.02000
016,0.71852,81.13013,93.57817,0.31119,91.78000,98.07999
017,0.72160,81.17650,93.49627,0.31202,91.60000,98.14000
018,0.72492,81.03510,93.47309,0.31136,91.68000,98.06000
019,0.73344,80.92460,93.33942,0.31217,91.64000,98.07999
020,0.73847,80.74148,93.31082,0.30872,91.92000,98.22000
021,0.74062,80.62711,93.29923,0.31624,91.60000,98.00000
022,0.75104,80.30954,93.11765,0.30695,91.72000,98.24000
023,0.75516,80.30104,93.11301,0.31378,91.43999,98.07999
024,0.76240,80.01437,93.09679,0.31126,91.68000,98.06000
025,0.77154,79.71689,92.92294,0.30523,91.78000,98.25999
026,0.77673,79.62726,92.85493,0.31027,91.75999,98.22000
027,0.78885,79.32899,92.75603,0.31469,91.64000,98.14000
028,0.79400,79.23627,92.64399,0.30983,91.62000,98.12000
029,0.80434,79.00292,92.51031,0.31210,91.78000,98.10000
030,0.81007,78.80975,92.45546,0.31475,91.68000,98.07999
