epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,2.81747,45.93410,67.29821,0.96814,81.75999,95.38000
002,1.37719,70.66174,88.76740,0.62180,86.22000,96.89999
003,1.10331,74.39305,90.70995,0.51382,87.78000,97.57999
004,0.97844,76.57127,91.81799,0.46921,88.75999,97.62000
005,0.91004,77.64840,92.27310,0.42972,89.30000,97.75999
006,0.86008,78.66525,92.71817,0.42735,89.00000,97.82000
007,0.82487,79.23164,92.98861,0.39920,89.74000,97.88000
008,0.79657,79.84283,93.18797,0.38460,89.98000,97.89999
009,0.77150,80.41154,93.46690,0.37466,90.16000,98.00000
010,0.75665,80.67734,93.54649,0.37005,90.06000,98.02000
011,0.74099,81.01887,93.64926,0.36205,90.48000,98.02000
012,0.72879,81.31635,93.76285,0.35807,90.43999,98.04000
013,0.71853,81.47630,93.88957,0.35818,90.40000,98.04000
014,0.70865,81.81087,93.94134,0.35571,90.24000,98.07999
015,0.69852,81.90746,94.09047,0.35076,90.48000,97.96000
016,0.69298,82.21113,94.02016,0.34608,90.72000,97.96000
017,0.68606,82.28454,94.16619,0.34358,90.57999,98.20000
018,0.67883,82.41744,94.26510,0.34870,90.50000,97.92000
019,0.67668,82.36722,94.21333,0.34521,90.66000,98.00000
020,0.67459,82.47849,94.29910,0.34310,90.64000,98.04000
021,0.66553,82.82619,94.46600,0.34294,90.75999,98.06000
022,0.66726,82.64539,94.35318,0.34664,90.62000,98.07999
023,0.66140,82.85169,94.44900,0.34261,90.84000,98.12000
024,0.65763,82.95446,94.48995,0.33983,90.74000,98.12000
025,0.65831,83.02554,94.40572,0.34203,90.74000,98.12000
026,0.65623,82.95910,94.41809,0.34256,90.66000,98.14000
027,0.65194,83.03095,94.54327,0.34527,90.72000,98.10000
028,0.65855,82.86019,94.43277,0.33715,90.68000,98.04000
029,0.65434,83.07964,94.43277,0.33921,90.92000,98.00000
030,0.65574,82.93746,94.42736,0.33770,90.74000,98.06000
