epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,1.76301,62.36768,81.57791,0.45001,88.98000,97.60000
002,1.08139,73.25604,89.44467,0.37663,90.14000,98.00000
003,0.99723,74.72879,90.19804,0.35586,90.60000,97.78000
004,0.98539,74.84431,90.22161,0.34351,90.34000,98.18000
005,0.98097,74.88023,90.20306,0.34689,90.60000,98.07999
006,0.99092,74.55532,90.02225,0.34410,90.68000,97.98000
007,0.99915,74.26440,89.82677,0.34335,90.52000,97.92000
008,1.00781,74.01173,89.68652,0.34613,90.38000,97.98000
009,1.00858,74.07857,89.68961,0.34416,90.68000,97.92000
010,1.00857,73.96691,89.60384,0.34254,90.70000,97.88000
011,1.00637,73.95764,89.67300,0.34672,90.62000,97.96000
012,0.99951,74.15700,89.69656,0.33503,91.10000,98.04000
013,0.99998,74.18790,89.79663,0.33128,91.10000,98.04000
014,0.99132,74.27946,89.99174,0.33698,90.84000,97.88000
015,0.99028,74.33008,89.94614,0.33833,90.60000,97.96000
016,0.98841,74.28371,89.88974,0.33486,90.70000,97.96000
017,0.97914,74.60361,89.98439,0.33384,90.75999,97.92000
018,0.98038,74.53638,90.05200,0.33175,91.16000,97.89999
019,0.98260,74.57000,89.92876,0.33377,90.84000,97.92000
020,0.98271,74.41276,89.94962,0.33111,90.96000,97.78000
