epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,1.73267,59.82785,80.51546,0.44369,88.34000,97.36000
002,1.28236,67.63897,86.01508,0.40320,88.72000,97.78000
003,1.20907,69.21912,86.96356,0.39609,89.00000,97.43999
004,1.16833,70.17146,87.41636,0.38692,89.14000,97.56000
005,1.14056,70.74982,87.77412,0.37769,89.66000,97.52000
006,1.12121,71.21305,88.02717,0.36743,89.86000,97.75999
007,1.09074,71.91735,88.41197,0.35232,90.54000,97.86000
008,1.07172,72.42540,88.58505,0.35439,90.14000,97.86000
009,1.04192,73.17104,89.01891,0.35958,90.54000,97.70000
010,1.02014,73.75790,89.30443,0.35716,90.38000,97.86000
011,1.00180,74.11875,89.58723,0.35339,90.32000,97.56000
012,0.97811,74.65809,89.94305,0.35804,90.42000,97.75999
013,0.96506,74.98416,89.98594,0.35293,90.68000,97.72000
014,0.95013,75.42884,90.28651,0.34590,90.89999,97.60000
015,0.92990,75.89632,90.51253,0.34077,90.57999,97.74000
016,0.92147,76.02111,90.60950,0.34438,90.68000,97.92000
017,0.89607,76.71769,90.94871,0.32875,91.36000,98.02000
018,0.89203,76.77062,91.02057,0.33495,91.20000,97.86000
019,0.88263,77.03217,91.16970,0.33420,91.10000,97.98000
020,0.86700,77.42973,91.25894,0.32205,91.28000,97.98000
021,0.86533,77.55645,91.33467,0.32790,91.34000,97.92000
022,0.85743,77.63294,91.40614,0.33650,91.07999,97.66000
023,0.84923,77.92077,91.45598,0.32237,91.36000,97.92000
024,0.85192,77.82921,91.44362,0.32253,91.50000,98.06000
025,0.86799,77.43552,91.18361,0.33844,90.86000,98.04000
026,0.86666,77.38568,91.31071,0.35143,90.43999,97.75999
027,0.90427,76.60488,90.60332,0.34703,90.40000,97.66000
028,0.89028,77.02097,90.79031,0.33958,90.98000,97.74000
029,0.92544,76.40166,90.13120,0.34714,90.75999,97.89999
030,1.04134,74.31192,88.45679,0.36432,90.36000,97.60000
