epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,0.81317,79.48817,91.63177,0.29984,92.04000,98.20000
002,0.54437,85.48888,95.53231,0.27175,92.68000,98.36000
003,0.50688,86.37438,95.88156,0.26904,92.64000,98.36000
004,0.48278,86.99486,96.09483,0.26731,92.82000,98.48000
005,0.47469,87.25216,96.09946,0.27529,92.78000,98.39999
006,0.46307,87.60837,96.20609,0.26120,92.92000,98.50000
007,0.44740,87.87881,96.36835,0.26696,92.82000,98.43999
008,0.44285,88.10289,96.41549,0.25723,93.18000,98.56000
009,0.43235,88.30920,96.41781,0.24992,93.24000,98.62000
010,0.42067,88.67700,96.58085,0.25315,93.22000,98.70000
011,0.40981,88.96444,96.62952,0.26520,92.80000,98.52000
012,0.40586,89.04712,96.77480,0.25655,92.82000,98.70000
013,0.39494,89.31215,96.83815,0.25044,93.28000,98.43999
014,0.39135,89.31756,96.84975,0.25183,93.10000,98.72000
015,0.39003,89.60191,96.80029,0.25128,93.48000,98.60000
016,0.37516,89.97048,96.98805,0.24708,93.32000,98.62000
017,0.37101,89.94035,96.97724,0.24922,93.39999,98.60000
018,0.36838,90.01917,97.03596,0.24639,93.48000,98.72000
019,0.36017,90.28111,97.09546,0.25288,93.34000,98.60000
020,0.36336,90.17293,97.02206,0.24164,93.78000,98.75999
021,0.35842,90.24788,97.13486,0.24430,93.74000,98.66000
022,0.35821,90.33442,97.09932,0.24256,93.70000,98.64000
023,0.34860,90.52837,97.22759,0.24233,93.70000,98.60000
024,0.35228,90.56623,97.13023,0.23936,93.57999,98.64000
025,0.34876,90.56391,97.15264,0.24210,93.64000,98.66000
026,0.34524,90.65586,97.18741,0.24091,93.64000,98.64000
027,0.33851,90.84749,97.24768,0.24057,93.64000,98.64000
028,0.34238,90.73854,97.20518,0.24014,93.66000,98.60000
029,0.34128,90.73004,97.25386,0.24019,93.74000,98.66000
030,0.34413,90.70145,97.22913,0.24007,93.72000,98.66000
