epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,1.35191,67.14909,82.51557,0.34204,90.24000,98.39999
002,0.62716,83.30140,94.83379,0.30107,91.43999,98.52000
003,0.57200,84.62965,95.34068,0.28751,91.62000,98.68000
004,0.54040,85.53061,95.60726,0.28175,92.04000,98.54000
005,0.52097,86.05681,95.74016,0.27957,92.14000,98.62000
006,0.50614,86.40298,95.87770,0.27124,92.34000,98.57999
007,0.49208,86.77927,96.04228,0.26434,92.70000,98.50000
008,0.47660,87.12621,96.15432,0.25968,92.62000,98.72000
009,0.46674,87.38892,96.30886,0.26605,92.43999,98.57999
010,0.46051,87.51720,96.27254,0.26061,92.80000,98.56000
011,0.45312,87.76291,96.23468,0.25596,92.70000,98.64000
012,0.44378,87.94604,96.41163,0.24882,93.02000,98.66000
013,0.43911,88.12917,96.49740,0.25275,92.52000,98.62000
014,0.42935,88.36484,96.60094,0.24784,92.98000,98.62000
015,0.42286,88.55492,96.63107,0.24797,93.00000,98.68000
016,0.41870,88.67236,96.65812,0.24345,93.12000,98.80000
017,0.41892,88.59355,96.67898,0.24551,93.18000,98.84000
018,0.40572,88.99767,96.78329,0.24091,93.25999,98.75999
019,0.40671,88.95131,96.69289,0.24132,93.22000,98.75999
020,0.40355,89.10198,96.72688,0.23817,93.32000,98.75999
021,0.40210,89.07726,96.77402,0.23902,93.30000,98.78000
022,0.39554,89.30984,96.80338,0.23653,93.22000,98.75999
023,0.39017,89.35156,96.92547,0.23722,93.34000,98.72000
024,0.38585,89.54396,96.94324,0.23891,93.20000,98.80000
025,0.39123,89.49142,96.86057,0.23590,93.30000,98.74000
026,0.38727,89.43192,96.95020,0.23625,93.32000,98.74000
027,0.38023,89.69154,97.00274,0.23526,93.22000,98.78000
028,0.38869,89.53469,96.88142,0.23475,93.30000,98.82000
029,0.38672,89.59109,96.89842,0.23472,93.24000,98.86000
030,0.37973,89.66064,96.94402,0.23474,93.24000,98.84000
