epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,0.99118,78.45818,90.96416,0.42771,88.90000,97.56000
002,0.54850,86.03672,95.78266,0.37753,90.14000,97.86000
003,0.51051,86.77232,95.92020,0.34396,90.50000,98.07999
004,0.48337,87.40670,96.24396,0.36644,89.92000,97.80000
005,0.47152,87.71809,96.30886,0.34515,90.72000,98.10000
006,0.45759,88.09053,96.40158,0.38272,89.38000,97.84000
007,0.45117,88.14848,96.45412,0.36062,89.98000,97.89999
008,0.43471,88.53019,96.61253,0.41715,89.32000,97.38000
009,0.43283,88.61519,96.60712,0.33921,90.84000,97.89999
010,0.41645,89.07803,96.72379,0.31328,91.36000,98.04000
011,0.40438,89.29284,96.83738,0.30869,91.80000,98.25999
012,0.39041,89.71781,96.97337,0.34003,90.84000,97.75999
013,0.39402,89.67841,96.95483,0.33856,90.60000,98.00000
014,0.37338,90.21388,97.15650,0.30470,91.48000,98.30000
015,0.36931,90.40937,97.12405,0.29626,92.22000,98.32000
016,0.35790,90.66591,97.25772,0.29270,91.93999,98.36000
017,0.34643,90.98502,97.35740,0.29866,91.86000,98.42000
018,0.34428,91.07929,97.32958,0.30534,91.64000,98.02000
019,0.32565,91.54600,97.51426,0.28079,92.24000,98.42000
020,0.32558,91.55373,97.51735,0.27647,92.30000,98.14000
021,0.31368,91.94007,97.53667,0.26828,92.74000,98.42000
022,0.30985,92.01734,97.60853,0.27210,92.39999,98.32000
023,0.30377,92.19351,97.66957,0.27701,92.54000,98.32000
024,0.30090,92.20047,97.68348,0.26916,92.78000,98.25999
025,0.29431,92.46009,97.73911,0.26801,92.72000,98.32000
026,0.29463,92.47864,97.71748,0.26822,92.68000,98.43999
027,0.28595,92.67104,97.78238,0.26759,92.80000,98.42000
028,0.29381,92.49100,97.71207,0.26887,92.48000,98.32000
029,0.28866,92.70426,97.79707,0.26757,92.57999,98.36000
030,0.28581,92.68803,97.76693,0.26701,92.60000,98.46000
