epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,1.57348,63.80952,82.77365,0.56693,83.98000,96.54000
002,0.88173,77.11678,92.18810,0.41831,88.38000,97.56000
003,0.78501,79.38927,93.10838,0.74921,80.22000,94.22000
004,0.77784,79.56699,93.17792,0.49243,86.30000,97.18000
005,0.74404,80.27090,93.49318,0.83146,77.92000,92.64000
006,0.71292,81.17882,93.78603,0.48656,86.82000,96.82000
007,0.69170,81.70734,94.04565,0.40946,88.78000,97.39999
008,0.67661,82.07591,94.19787,0.43169,88.22000,97.22000
009,0.64209,82.87333,94.58808,0.36889,89.68000,97.92000
010,0.64537,82.82233,94.56644,0.36590,89.82000,97.78000
011,0.60473,83.85155,94.93502,0.40405,89.10000,97.30000
012,0.62359,83.44898,94.76812,0.37938,89.50000,97.80000
013,0.60216,84.04008,95.01383,0.39303,89.52000,97.48000
014,0.58099,84.52920,95.19851,0.32692,91.16000,97.93999
015,0.55150,85.39693,95.47899,0.37769,89.82000,97.74000
016,0.55507,85.23930,95.46508,0.33650,91.02000,98.00000
017,0.54466,85.48579,95.50912,0.32735,91.46000,97.78000
018,0.54085,85.72378,95.61653,0.38756,89.36000,97.74000
019,0.52806,85.87755,95.72084,0.31770,91.54000,98.04000
020,0.52069,86.10162,95.76257,0.31874,91.22000,98.14000
021,0.48263,87.17026,96.16592,0.31787,91.52000,98.10000
022,0.48296,87.21893,96.17519,0.30287,92.02000,98.16000
023,0.48857,87.11771,96.06392,0.30664,91.70000,98.16000
024,0.47370,87.48397,96.22077,0.29730,92.00000,98.25999
025,0.46656,87.67482,96.28336,0.29878,91.98000,98.36000
026,0.46472,87.76059,96.28877,0.29862,91.98000,98.34000
027,0.45441,88.01017,96.41163,0.28618,92.12000,98.46000
028,0.45610,87.90276,96.40931,0.29646,91.88000,98.34000
029,0.45678,87.91126,96.40390,0.29096,92.18000,98.28000
030,0.46481,87.71655,96.28722,0.29339,92.10000,98.36000
