epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,1.53920,64.64016,83.32458,0.53553,85.52000,96.84000
002,0.87860,77.37254,92.13556,0.42585,88.10000,97.50000
003,0.79171,79.30891,93.03420,0.63366,83.06000,95.25999
004,0.75961,79.97110,93.34560,0.37205,90.07999,97.80000
005,0.71932,80.95473,93.86176,0.39538,89.46000,97.68000
006,0.66139,82.52175,94.37868,0.38700,89.78000,97.70000
007,0.67715,82.08518,94.27514,0.35204,90.89999,97.80000
008,0.65431,82.61911,94.51158,0.49004,87.25999,96.52000
009,0.62389,83.49148,94.76348,0.32948,91.04000,98.04000
010,0.58772,84.42798,95.17919,0.30793,91.43999,98.25999
011,0.56868,84.98431,95.27964,0.29634,92.06000,98.32000
012,0.57166,84.74014,95.27809,0.30073,91.66000,98.32000
013,0.54830,85.51515,95.54235,0.29745,91.84000,98.46000
014,0.54732,85.61947,95.51376,0.28433,92.36000,98.46000
015,0.53512,85.83813,95.59489,0.28593,92.34000,98.48000
