epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,4.48984,2.39148,10.07124,4.34668,5.20000,16.48000
002,4.17429,6.59182,21.92199,3.81535,11.38000,31.64000
003,3.73142,12.81661,34.73087,3.54072,16.20000,40.88000
004,3.43834,17.82441,43.09524,2.98389,25.74000,54.88000
005,3.20678,22.08194,49.21340,2.79169,30.30000,60.74000
006,3.01206,25.94075,54.22121,2.49677,35.78000,65.88000
007,2.81199,30.04605,59.09688,2.45998,35.94000,66.32000
008,2.64453,33.41035,62.89079,2.29398,40.44000,69.25999
009,2.48083,37.32402,66.28908,1.99238,48.16000,76.38000
010,2.34163,40.38310,69.12717,1.92224,48.98000,78.08000
011,2.21787,43.26292,71.67782,1.80635,52.62000,80.82000
012,2.13490,45.19387,73.38083,1.66532,55.98000,82.02000
013,2.01603,47.91451,75.39523,1.51668,58.66000,84.48000
014,1.92297,50.16381,77.09361,1.46054,60.56000,85.72000
015,1.83923,52.26321,78.48754,1.47259,60.56000,84.80000
016,1.77419,53.90749,79.69989,1.43238,61.42000,85.50000
017,1.70619,55.45519,80.75461,1.40218,61.96000,85.78000
018,1.64217,57.14352,81.62080,1.19598,68.24000,88.34000
019,1.59361,58.23301,82.45608,1.25737,66.28000,87.64000
020,1.54166,59.66636,83.29135,1.16625,68.02000,89.32000
021,1.49555,60.79834,83.89173,1.10892,69.92000,90.18000
022,1.46018,61.67612,84.39552,1.08118,70.30000,89.98000
023,1.41099,62.81738,85.14272,1.05137,70.90000,90.84000
024,1.37876,63.70211,85.54452,1.02583,72.43999,91.18000
025,1.33849,64.76456,86.15417,1.04337,71.58000,90.96000
026,1.30870,65.54189,86.47252,0.93218,74.24000,92.16000
027,1.27946,66.47530,86.89441,0.94230,74.24000,92.00000
028,1.24701,67.02391,87.44070,0.97330,73.90000,91.62000
029,1.21818,67.85532,87.88499,0.97416,73.93999,91.54000
030,1.19128,68.43407,88.10289,0.84985,77.20000,93.10000
031,1.16304,69.21217,88.50160,0.83917,77.08000,93.06000
032,1.13966,69.88286,88.82304,0.86315,77.02000,93.00000
033,1.11677,70.46315,89.11512,0.84617,76.88000,93.12000
034,1.09403,70.97622,89.29593,0.85279,77.43999,92.78000
035,1.07587,71.50860,89.54860,0.81301,78.60000,92.96000
036,1.05510,71.85631,89.84068,0.78789,78.75999,93.43999
037,1.03029,72.57877,90.09798,0.76133,79.06000,93.88000
038,1.01105,73.05244,90.38542,0.74894,79.78000,93.89999
039,0.99344,73.56782,90.67209,0.81558,78.00000,93.34000
040,0.97245,74.03220,90.89616,0.78192,78.82000,93.25999
041,0.95689,74.43633,90.95335,0.74800,79.56000,93.96000
042,0.93591,75.07225,91.37369,0.77028,79.40000,94.42000
043,0.92413,75.45319,91.36056,0.74292,80.46000,94.46000
044,0.90669,75.84571,91.60086,0.70889,80.74000,94.66000
045,0.88726,76.36959,91.84348,0.70401,81.14000,94.88000
046,0.86741,76.73044,92.09847,0.70382,81.04000,94.56000
047,0.85389,77.20101,92.25455,0.70109,80.78000,94.89999
048,0.84486,77.33160,92.36582,0.68903,81.80000,94.48000
049,0.82878,77.72953,92.54586,0.67404,81.34000,95.00000
050,0.81385,78.09038,92.64708,0.67713,82.04000,95.14000
051,0.80431,78.61890,92.76839,0.69367,81.78000,94.92000
052,0.78929,78.77884,93.00407,0.63533,82.38000,95.22000
053,0.77491,79.15282,93.03961,0.63713,82.72000,95.25999
054,0.76433,79.51753,93.14933,0.64012,82.78000,95.14000
055,0.75188,79.87683,93.32705,0.62016,83.07999,95.22000
